iter	Accuracy	Logloss
0	0.8512894813	0.6706697163
1	0.8721626582	0.6508009008
2	0.8745484401	0.6307407339
3	0.872916063	0.6134886595
4	0.8714575485	0.5964216612
5	0.8732251521	0.5806389203
6	0.8739785569	0.5648522326
7	0.8722978847	0.5516460014
8	0.8751279822	0.5377097834
9	0.872916063	0.5268254983
10	0.8737563991	0.5161072483
11	0.8737563991	0.5053802793
12	0.8740654883	0.4948572516
13	0.8752149136	0.4855790044
14	0.8757461605	0.4767017594
15	0.8800347725	0.4678525717
16	0.8756592292	0.4600403004
17	0.8756592292	0.4523922244
18	0.8756592292	0.4447199087
19	0.8759683184	0.4373349366
20	0.8725200425	0.430922196
21	0.8736694678	0.4247505829
22	0.8713706172	0.4196857239
23	0.8733603786	0.4153592977
24	0.8745098039	0.4107493641
25	0.8753501401	0.4048286739
26	0.8756592292	0.3999214268
27	0.8779580798	0.3948012465
28	0.8779580798	0.3898041373
29	0.8791075051	0.3856441149
30	0.8791075051	0.3811184322
31	0.8768086545	0.37719567
32	0.8791075051	0.3729744941
33	0.8791075051	0.3691884204
34	0.8791075051	0.3657813869
35	0.8791075051	0.3622882045
36	0.8802569304	0.35887454
37	0.8791075051	0.3555275043
38	0.8810972665	0.352461204
39	0.8814063556	0.3494542401
40	0.8814063556	0.3474900269
41	0.8805660195	0.345174044
42	0.8805660195	0.3428042388
43	0.8814063556	0.3408937876
44	0.8805660195	0.339120275
