iter	Passed	Remaining
0	5	503
1	8	432
2	11	367
3	14	338
4	16	319
5	19	302
6	21	290
7	24	279
8	26	270
9	29	262
10	31	252
11	33	243
12	34	233
13	36	224
14	38	216
15	39	208
16	41	202
17	43	196
18	46	196
19	47	191
20	49	186
21	51	181
22	53	180
23	55	176
24	57	172
25	59	168
26	63	172
27	66	172
28	69	170
29	72	168
30	74	165
31	77	164
32	82	167
33	85	166
34	88	165
35	91	162
36	94	160
37	97	159
38	100	156
39	102	154
40	105	151
41	108	149
42	110	146
43	113	144
44	116	142
45	118	139
46	121	136
47	123	134
48	126	131
49	129	129
50	131	126
51	134	123
52	137	121
