iter	Logloss
0	0.590830056
1	0.5647078136
2	0.5566698214
3	0.5538608772
4	0.5524604855
5	0.5516907986
6	0.5509976042
7	0.5506767887
8	0.550211492
9	0.5499785944
10	0.5497796309
11	0.5495074836
12	0.549341656
13	0.5490308313
14	0.5487820339
15	0.5485850621
16	0.5484371831
17	0.5483629696
18	0.5482097374
19	0.5481464306
20	0.5480576344
21	0.5479759531
22	0.5479049146
23	0.5478154632
24	0.5477525741
25	0.5477095088
26	0.547637865
27	0.5475613353
28	0.5474963747
29	0.5474646292
30	0.5473847779
31	0.5473091228
32	0.5472697589
33	0.5471850839
34	0.5471370596
35	0.5471024442
36	0.5469838062
37	0.5469110496
38	0.5468535699
39	0.546815384
40	0.5467874146
41	0.5467637293
42	0.5467407493
43	0.5467116177
44	0.5465467873
45	0.5465003641
46	0.5464717481
47	0.5464355249
48	0.5464047858
49	0.5463808754
50	0.5463616213
51	0.5463324508
52	0.5463075846
53	0.54627845
54	0.5462315074
55	0.5461979394
56	0.5461822457
57	0.5461618562
58	0.5461385973
59	0.5461083656
60	0.5460852947
61	0.5460588245
62	0.5460300243
63	0.5459944125
64	0.5459722555
65	0.5459558279
66	0.5459270003
67	0.5459067084
68	0.5458847794
69	0.5458668605
70	0.5458233198
71	0.5458072608
72	0.5457922159
73	0.5457760405
74	0.5457591455
75	0.5457442285
76	0.5457270708
77	0.5456977686
78	0.5456764654
79	0.5456600924
80	0.5456433406
81	0.5456232188
82	0.5456038022
83	0.5455858613
84	0.5455632115
85	0.5455479994
86	0.5455346931
87	0.5455129273
88	0.5454988275
89	0.5454823342
90	0.5454688874
91	0.545454164
92	0.5454367237
93	0.5454176215
94	0.5454031211
95	0.5453730416
96	0.5453575282
97	0.54534314
98	0.5453313581
99	0.5453031262
