iter	Passed	Remaining
0	385	192456
1	725	180617
2	1038	172086
3	1333	165336
4	1711	169448
5	2041	168101
6	2382	167826
7	2672	164381
8	2985	162881
9	3264	159943
10	3586	159440
11	3898	158548
12	4165	156031
13	4500	156233
14	4864	157283
15	5175	156560
16	5446	154746
17	5781	154828
18	6086	154091
19	6452	154867
20	6787	154822
21	7119	154685
22	7403	153543
23	7757	153849
24	8024	152472
25	8379	152764
26	8738	153087
27	9046	152504
28	9339	151687
29	9703	152026
30	9987	151093
31	10370	151675
32	10630	150442
33	10922	149708
34	11289	149988
35	11604	149568
36	11865	148479
37	12196	148278
38	12480	147525
39	12864	147946
40	13139	147094
41	13449	146660
42	13846	147158
43	14175	146909
44	14595	147574
45	14915	147204
46	15302	147485
47	15644	147314
48	15942	146733
49	16177	145599
50	16521	145454
51	16806	144791
52	17109	144300
53	17368	143450
54	17712	143313
55	18061	143205
56	18383	142877
57	18643	142074
58	18957	141697
59	19242	141108
60	19535	140593
61	19866	140346
62	20144	139729
63	20521	139799
64	20817	139314
65	21162	139162
66	21457	138673
67	21797	138477
68	22113	138129
69	22473	138049
70	22853	138086
71	23154	137638
72	23486	137380
73	23762	136795
74	24036	136205
75	24307	135612
76	24574	135000
77	24911	134779
78	25178	134176
79	25489	133819
80	25862	133780
81	26188	133495
82	26459	132935
83	26670	132083
84	26960	131629
85	27273	131292
86	27623	131132
87	27953	130872
88	28234	130388
89	28580	130201
90	28958	130154
91	29285	129873
92	29615	129609
93	29917	129220
94	30224	128852
95	30516	128422
96	30861	128218
97	31123	127671
98	31460	127431
99	31870	127483
100	32145	126991
101	32446	126603
102	32785	126368
103	33149	126224
104	33415	125707
105	33748	125442
106	34096	125233
107	34366	124738
108	34652	124303
109	34999	124090
110	35285	123658
111	35544	123134
112	35878	122875
113	36218	122634
114	36561	122402
115	36880	122086
116	37189	121740
117	37545	121546
118	37867	121238
119	38236	121082
120	38552	120756
121	38888	120490
122	39244	120285
123	39576	120006
124	39902	119707
125	40203	119333
126	40418	118709
127	40703	118295
128	41095	118189
129	41408	117855
130	41684	117417
131	41960	116981
132	42323	116787
133	42700	116631
134	43039	116366
135	43367	116072
136	43715	115830
137	44017	115466
138	44330	115131
139	44676	114881
140	44951	114450
141	45317	114250
142	45629	113913
143	45885	113439
144	46170	113038
145	46475	112687
146	46770	112312
147	47031	111859
148	47445	111768
149	47736	111384
150	48044	111043
151	48394	110797
152	48718	110492
153	49027	110152
154	49300	109732
155	49554	109274
156	49877	108966
157	50098	108441
158	50484	108271
159	50756	107858
160	51022	107433
161	51317	107070
162	51611	106705
163	51905	106343
164	52295	106175
165	52582	105798
166	52948	105580
167	53223	105180
168	53508	104800
169	53797	104430
170	54027	103947
171	54272	103496
172	54611	103225
173	54963	102976
174	55255	102616
175	55572	102304
176	55872	101959
177	56232	101724
178	56562	101433
179	56928	101206
180	57259	100915
181	57600	100642
182	57905	100305
183	58200	99953
184	58515	99635
185	58869	99382
186	59244	99163
187	59547	98824
188	59905	98574
189	60250	98303
190	60559	97973
191	60846	97607
192	61197	97344
193	61519	97035
194	61751	96585
195	62027	96206
196	62329	95866
197	62669	95586
198	62974	95252
199	63262	94894
200	63596	94603
201	63862	94213
202	64164	93876
203	64449	93515
204	64866	93344
205	65165	93002
206	65472	92672
207	65811	92389
208	66155	92111
209	66468	91790
210	66769	91451
211	67056	91095
212	67446	90878
213	67822	90641
214	68217	90427
215	68638	90246
216	68898	89853
217	69209	89528
218	69511	89190
219	69825	88868
220	70171	88588
221	70450	88221
222	70770	87907
223	71104	87610
224	71449	87327
225	71766	87009
226	72066	86670
227	72409	86383
228	72681	86011
229	72971	85662
230	73332	85395
231	73640	85067
232	73919	84705
233	74315	84478
234	74641	84170
235	75009	83908
236	75296	83556
237	75624	83250
238	75936	82925
239	76254	82609
240	76538	82254
241	76872	81954
242	77227	81676
243	77608	81424
244	77967	81149
245	78290	80836
246	78589	80498
247	78850	80121
248	79137	79772
249	79434	79434
250	79708	79073
251	79926	78657
252	80205	78303
253	80530	77994
254	80796	77627
255	81077	77277
256	81355	76923
257	81631	76568
258	81957	76261
259	82266	75937
260	82541	75584
261	82858	75268
262	83139	74920
263	83513	74656
264	83796	74310
265	84077	73963
266	84344	73604
267	84676	73302
268	85036	73024
269	85331	72690
270	85652	72378
271	85939	72037
272	86203	71678
273	86583	71415
274	86928	71123
275	87249	70811
276	87571	70499
277	87852	70155
278	88142	69818
279	88406	69462
280	88778	69190
281	89124	68897
282	89463	68599
283	89789	68290
284	90175	68027
285	90484	67704
286	90788	67379
287	91068	67036
288	91398	66730
289	91716	66415
290	92057	66116
291	92418	65832
292	92830	65583
293	93166	65280
294	93475	64957
295	93799	64645
296	94122	64333
297	94445	64020
298	94747	63692
299	95051	63367
